url,h1,content_type,content,alt_text
https://support.payever.org/hc/en-us/articles/360013623379-Apps-and-Widget-configuration,Apps and Widget configuration,image,https://support.payever.org/hc/article_attachments/9947626871324,
https://support.payever.org/hc/en-us/articles/360013623379-Apps-and-Widget-configuration,Apps and Widget configuration,image,https://support.payever.org/hc/article_attachments/9947626189596,
https://support.payever.org/hc/en-us/articles/360013623379-Apps-and-Widget-configuration,Apps and Widget configuration,image,https://support.payever.org/hc/article_attachments/9947586179868,
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,"in this article, you can find out how to transfer your business account to another person.",
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,,
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,"to do so, go to the settings of the business that you want to transfer to a different person:",
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,,
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,"you will then find the item ""transfer business ownership"" under the menu item ""general"", which you must select:",
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,,
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,"you can then enter the email address to which the business should be transferred. this email address must already be registered with payever. if the invitation has been sent successfully, the message ""success, invitation sent"" will appear:",
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,,
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,the recipient must then click within 24 hours on the link in the email to have the business account transferred to them:,
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,,
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,"after the person has logged into their account, the message ""business transferred success"" is displayed if the transfer was successful:",
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,,
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,paragraph,this means that the business has been successfully transferred from one account to another and can now be managed from the new person/account.,
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,image,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR,payever help center home page
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,image,https://support.payever.org/hc/article_attachments/12261160472092,screenshot 2024-01-19 at 15.47.47.png
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,image,https://support.payever.org/hc/article_attachments/12261185463196,screenshot 2024-01-19 at 15.48.38.png
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,image,https://support.payever.org/hc/article_attachments/12261185468444,screenshot 2024-01-19 at 15.49.43.png
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,image,https://support.payever.org/hc/article_attachments/12261160490396,screenshot 2024-01-19 at 15.50.20.png
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,image,https://support.payever.org/hc/article_attachments/12360997626140,screenshot 2024-01-26 at 08.28.40.png
https://support.payever.org/hc/en-us/articles/12260798684956-Handing-over-business-ownership,Handing over business ownership,image,https://support.payever.org/hc/article_attachments/12261185485340,business transferred success.png
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,"because sensitive customer data can sometimes be viewed in your payever account, it is our concern and duty to protect your account and the data it contains to the best of our ability.",
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,we therefore follow common best practices and recommendations according to authorities specializing in this topic (e.g. owasp).,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,below you will find a brief overview of the measures we apply for your security and that of your customers:,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,pwned check during password assignment,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,"when you set a password for the first time or in the course of a password reset, we automatically check the password you have chosen in the background against so-called ""pwned""-databases (these are lists of passwords that have been stolen from other websites in the course of hacker attacks in the past). if your password is found on one of these pwned lists, we will reject the password for your own security (even if it otherwise meets all password criteria, such as upper case, lower case, number, special characters). instead, we will ask you to provide a new password.",
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,security measures in case of wrong password entry,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,"in order to protect your account from bruteforce attacks (attempts by hackers to finally guess your password through countless guessing attempts), our platform does not allow a large number of failed attempts within a short period of time.",
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,"therefore, after a few failed attempts, you will be shown a captcha in addition to the password entry, which you must solve correctly. if you enter the password correctly and solve the captcha correctly, you will be logged in without further action. however, if you make further failed attempts to enter the password correctly or repeatedly solve the captcha incorrectly, your account may be blocked.",
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,"if you have been locked out, you can unlock yourself at any time by resetting your password. to do this, click on ""forgot password"" to receive an email with a reset link (to the email you used to register with us). please click this link promptly and issue a new password quickly, as the link is only valid for a short time for security reasons. if your link has already expired, click ""forgot password"" again to receive a new link.",
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,two factor authentication (2fa),
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,"in order to prevent unauthorized access to your account as far as possible, we ask you to additionally enter a one-time code when you log in to your account in a constellation that is still unknown to us (foreign ip or foreign device). you will receive the said code by email (to the email with which you registered with us). please enter it within five minutes to complete your login. after five minutes the code will expire, but you can request a new code by clicking ""resend"".",
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,user administration,
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,"in the interest of fraud prevention and data minimization, we strongly recommend that you use our user management feature. to set up a separate account for each person in (or outside) your organization who should have access to your payever account. each user can log in with their own email address and password.",
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,"please only give users the rights they really need (you have the option here to select individual apps and, in turn, to select within the apps which actions the user is allowed to perform there). remember to check your user overview at regular intervals for people who have left (are no longer working for you) and delete the corresponding users from your account if necessary.",
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,paragraph,"it is not planned that several colleagues share accounts and work in parallel - our platform allows only one login per account at a time (i.e. if colleague a is logged in on his computer and colleague b then logs in on another device with the same email and password as colleague a, colleague a is automatically logged out, and if he then logs in again, colleague b is automatically logged out, etc.).",
https://support.payever.org/hc/en-us/articles/5869134422940-General-safety-measures,General safety measures,image,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR,payever help center home page
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,in this article you will find step-by-step instructions on how to use and set the optional security questions in your payever account. please follow the steps described below.,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,what is a security question?,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,the security questions in your payever account help you to gain access to your payever account in case you cannot or do not want to use the two-factor authentication method set by default (confirmation of login via a one-time code sent by email).,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,"at payever, we attach great importance to security and protection against external attackers, which is why we always apply two-factor authentication if you log into your account in a constellation that was previously unknown to us in connection with your email address (e.g. different browser than usual, different device, different ip address) measures such as the security questions are used in these cases to verify your identity and successfully prevent third parties from accessing sensitive information in your account, even if your password was stolen, for example, as part of a hack. only you should be able to answer the questions, as the answers are usually not readily ascertainable by outside third parties.",
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,how to set up your own security question,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,step 1:,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,login into your payever account with your business email and according password. complete the two-factor-authentification. until you see you dashboard.,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,step 2:,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,click onto the three horizontal stripes in the top right corner of your dashboard.,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,step 3:,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,click on the bar called personal information.,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,step 4:,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,almost done - now click on the icon called settings.,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,step 5:,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,"it is possible that a pop-up will now appear on your screen. please click save here now. if you do not see this window, continue with step 6.",
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,step 6:,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,"now click on general and after that, click on security question.",
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,step 7:,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,"now choose one of the 5 questions and answer it. if possible, choose a question that only you or very close people can answer (e.g. if your current pet is also your first pet and you have posted the name/pictures of this pet on your social media profiles, it is better to choose one of the other questions, as the answer in this case could be determined quite easily by third parties).",
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,"note: the system is case sensitive, so please also note whether you have capitalized or lowercase the word(s).",
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,general notes on the security questions:,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,apply the security question,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,step 1:,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,"after you have entered your email and the corresponding password in the login screen, click on no access to your mailbox at the bottom.",
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,paragraph,step 2: please now answer the question as you had previously set it. please note that the answer must be exactly the same in spelling - upper and lower case letters and spaces must also be observed. then check the box i am not a robot and solve the automatically generated captcha (picture puzzle). then click confirm to complete the login process.,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,image,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR,payever help center home page
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,image,https://support.payever.org/hc/article_attachments/10014269142684,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,image,https://support.payever.org/hc/article_attachments/10014325703452,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,image,https://support.payever.org/hc/article_attachments/9946673903644,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,image,https://support.payever.org/hc/article_attachments/9946685190556,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,image,https://support.payever.org/hc/article_attachments/9946698873884,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,image,https://support.payever.org/hc/article_attachments/9946714479132,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,image,https://support.payever.org/hc/article_attachments/10014367447324,
https://support.payever.org/hc/en-us/articles/9633502185884-Security-Questions,Security Questions,image,https://support.payever.org/hc/article_attachments/9640766381724,screenshot 2023-07-18 at 16.05.04.png
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,"if you need to reset your password (for example, because you have forgotten it, or because your access has been blocked due to too many incorrect password entries), you can easily do so at any time by going to https://commerceos.payever.org/login and clicking on forgot password?",
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,"now enter the email address your payever account is registered with (please make sure you write it correctly and do not enter any spaces before or after the email address). you will then receive an email from us with a reset link. please click on this as soon as possible, as it is only valid for a short time for security reasons.",
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,now assign a new password that matches the specified criteria and repeat the password again.,
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,now return to https://commerceos.payever.org/login and log in with your email address and new password.,
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,,
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,"faq what can i do if i did not receive the email? first of all, try again and make sure that you have entered the email address correctly and that this is the email address with which you are registered with us (if there is no account with us at this email address, you will not receive a reset link). if this did not help, please follow the steps in this guide.",
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,,
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,"why was my password rejected? if your password is rejected even though it meets the criteria (8 characters, uppercase letter, lowercase letter, special character, number), please assign another password. a rejection may be due to the fact that the password is ""pwned"", i.e. it has already been stolen in the past during a hacker attack from another website.",
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,,
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,"why does the reset link not work? please note that the reset link has a limited validity for security reasons. therefore, you can no longer use a link that is already several hours or days old. in this case, please request a new link.",
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,,
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,paragraph,"what can i do if my account is registered on an email address that no longer exists? please contact support@payever.de to have your account migrated to another email address. to do so, please always provide the old email address that the account is currently running on, the name of the company and the new email address that the account is meant to be running on in the future.",
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,image,https://support.payever.org/hc/theming_assets/01HZPQ8T5DDG5J5F0V28AWNYZR,payever help center home page
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,image,https://support.payever.org/hc/article_attachments/9937311158556,
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,image,https://support.payever.org/hc/article_attachments/9937466509852,
https://support.payever.org/hc/en-us/articles/5871150263452-Reset-password,Reset password,image,https://support.payever.org/hc/article_attachments/9937482965404,
https://support.payever.org/hc/en-us/articles/5869806591772-Two-factor-authentication-2FA,Two factor authentication (2FA),paragraph,"in order to exclude unauthorized access to your account as far as possible, we ask you to additionally enter a one-time code when you log into your account in a constellation that is still unknown to us (foreign ip, foreign device, foreign browser).",
